               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,             0.03167,            0.065751,           0.0072735,             0.95827,             0.95921,              0.9736,             0.82404,            0.022029,            0.076733,           0.0049142,            0.009901,            0.009901,            0.009901
                 102,            0.031092,            0.066257,           0.0071269,             0.95614,             0.94518,             0.97548,             0.82577,            0.022039,             0.07899,           0.0055168,              0.0099,              0.0099,              0.0099
                 103,            0.031272,            0.066162,           0.0071249,             0.95777,             0.95133,             0.98183,             0.83693,            0.021554,            0.075467,           0.0045171,            0.009899,            0.009899,            0.009899
                 104,            0.030853,             0.06502,           0.0072291,             0.95184,              0.9455,             0.98086,             0.83006,            0.021394,            0.074391,           0.0048075,            0.009898,            0.009898,            0.009898
                 105,            0.031678,            0.068131,           0.0074266,             0.96599,             0.94709,             0.97406,             0.83004,            0.022231,             0.08086,           0.0045629,            0.009897,            0.009897,            0.009897
                 106,            0.030308,            0.066079,           0.0071536,             0.95429,             0.94724,             0.97167,             0.82774,            0.021703,            0.079899,           0.0047292,           0.0098961,           0.0098961,           0.0098961
                 107,            0.030514,            0.063815,            0.007062,             0.95506,             0.95219,             0.97448,             0.82709,             0.02157,            0.079028,           0.0045154,           0.0098951,           0.0098951,           0.0098951
                 108,            0.030569,            0.065127,            0.006936,             0.94688,              0.9532,             0.97542,             0.83881,            0.021885,            0.080006,            0.004666,           0.0098941,           0.0098941,           0.0098941
                 109,            0.030526,            0.065264,           0.0071969,             0.94751,              0.9502,             0.97551,             0.83152,            0.021993,            0.079906,           0.0051804,           0.0098931,           0.0098931,           0.0098931
                 110,             0.03173,            0.066238,           0.0072123,             0.95078,             0.95191,              0.9647,             0.82233,             0.02206,            0.080103,           0.0051501,           0.0098921,           0.0098921,           0.0098921
